path	label
agentic-flow-builder/skills/flow-builder/SKILL.md	stamp-only, not prose-reviewed
delivery-team/skills/alias-creator/SKILL.md	stamp-only, not prose-reviewed
delivery-team/skills/architect/SKILL.md	stamp-only, not prose-reviewed
delivery-team/skills/architect/paradigms/ddd/SKILL.md	stamp-only, not prose-reviewed
delivery-team/skills/architect/paradigms/volatility/SKILL.md	stamp-only, not prose-reviewed
delivery-team/skills/developer/SKILL.md	stamp-only, not prose-reviewed
delivery-team/skills/godot/SKILL.md	stamp-only, not prose-reviewed
delivery-team/skills/operations/SKILL.md	stamp-only, not prose-reviewed
delivery-team/skills/presentation/SKILL.md	stamp-only, not prose-reviewed
delivery-team/skills/quality/SKILL.md	stamp-only, not prose-reviewed
delivery-team/skills/ui/SKILL.md	stamp-only, not prose-reviewed
delivery-team/skills/user-feedback/SKILL.md	stamp-only, not prose-reviewed
hardware-team/SKILL.md	stamp-only, not prose-reviewed
hardware-team/skills/compliance-engineer/SKILL.md	stamp-only, not prose-reviewed
hardware-team/skills/electrical-engineer/SKILL.md	stamp-only, not prose-reviewed
hardware-team/skills/hardware-flow/SKILL.md	stamp-only, not prose-reviewed
hardware-team/skills/hw-product-owner/SKILL.md	stamp-only, not prose-reviewed
hardware-team/skills/manufacturing-engineer/SKILL.md	stamp-only, not prose-reviewed
hardware-team/skills/pcb-layout-engineer/SKILL.md	stamp-only, not prose-reviewed
hardware-team/skills/test-engineer/SKILL.md	stamp-only, not prose-reviewed
mtg-commander/SKILL.md	stamp-only, not prose-reviewed
research-agent/SKILL.md	stamp-only, not prose-reviewed
